Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS PC 28:2(PC)	114574750	106981750	115857039.1177	71999411.0441	107181826.879	100722230.2553	103041734.1539	95952697.9893	94212098.8144	92336529.6064	89062975.6601	97259625	101531926.2925	100498000	86686931.6232	123762335.6936	107728500	89482500	101635729.6597
IS PC 40:2(PC)	51936887.5277	48568969.5019	55422723.1038	33143293.3826	46613666.7104	43446353.2592	45465395.8322	43644692.2545	40461325.0844	41297611.2002	39749935.5204	43748929.1018	44564481.1499	43665138.3758	38092249.7177	57984134.0843	49321379.4919	38608083.179	42162156.1261
IS PC 44:2(PC)	42218684.9748	42410875	45298773.8282	28609905.2784	38598125	35294499.4707	38639625	38012642.7155	34394911.0637	33426937.129	32474601.17	35730287.5448	37123583.9569	36814218.0619	31689375	48717001.6874	41846125	32140206.7182	35447250
PC O-30:2(PC)	229167.5742	343847.1751	380525.5937	219356.8835	341289.3215	258363.5411	165821.9801	104210.6012	169070.0002	219658.6311	321326.6113	215986.554	244760.81	235026.3759	219013.5354	154505.4296	150803.7531	118040.5157	123402.3213
PC O-30:1(PC)	687205.1572	1407155.9967	2180964.4493	3498254.936	5105384.0412	3890999.2755	458915.7713	332013.9334	609429.2069	1123303.3855	1916404.0473	998323.7659	3569229.8861	3875996.9211	3349551.1648	860803.5652	650533.4184	732180.7265	88897.8237
PC O-30:0(PC)	2611466.1711	5402854.8066	8162351.0299	12280093.3973	17815924.496	13252108.1204	1022595.5772	633374.8187	1533261.495	3059726.8451	5268597.0333	2565009.174	11297617.6132	11124228.1577	10504497.3062	2508581.2898	1899287.4475	2010248.6595	28401.2828
PC 30:2(PC)	334856.5392	624825.4365	937084.2333	392672.0819	575040.912	459055.5133	278022.7106	165933.7362	381352.4628	799575.2015	1341268.0719	760636.6862	535189.1281	426235.9907	463358.3042	545455.9339	377419.9533	413919.5877	25532.6985
PC 30:1(PC)	5227662.9145	9405630.902	15536270.2466	13864775.3417	20098421.1004	14685775.9571	2989858.5843	1797914.6703	4743030.5226	11064031.3532	18599505.7645	8790628.8885	15202475.198	13745214.2816	13575925.3864	7754473.8518	6064774.4609	7015966.6779	46264.5022
PC 30:0(PC)	18777973.1397	37262510.1977	55603266.4809	49031293.983	69876941.6716	53366790.1376	12385836.3496	7804048.4833	19150739.0058	37381912.9438	62923263.8375	29798773.0059	52851650.2468	48517486.0219	45615536.6137	32236537.2944	25053418.3156	28481470.1379	59791.119
PC O-32:2(PC)	1123691.3372	2533596.5864	3673521.029	4257326.5482	6269389.955	4579717.9224	627602.6825	370516.867	960577.9392	2301294.9139	4124738.0302	1852017.7213	5096482.9684	4618890.9024	4736784.6197	1642830.6912	1302870.7154	1515806.4329	0
PC O-32:1(PC)	11755583.0773	25385190.2863	34028895.7382	36899650.1855	54616929.2781	40836461.0727	3796314.2268	3230717.9094	5617835.9813	14796102.498	26637986.8438	12621576.6183	41753824.5738	39054708.4752	35067650.5244	9990453.8236	7888141.34	8787460.308	0
PC O-32:0(PC)	14744256.9017	31818124.47	41758561.7184	33793644.5871	49125849.7902	37823430.5505	5947723.0594	3442207.9793	9216756.2813	18729925.8534	31611870.6161	15429304.5162	37005858.8081	37058668.242	33399777.669	12826627.0037	9867929.6064	11514296.1268	0
PC 32:3(PC)	367064.7176	660275.1504	1033034.0367	352408.4421	456742.0228	351039.1744	375662.8816	191617.9087	544883.1838	1357273.3584	2273029.0645	1181730.0977	450071.242	474432.8848	415551.2349	771404.63	622334.1085	706414.6743	35327.5464
PC 32:2(PC)	6347229.4885	13005960.699	19219665.4678	9306443.6168	13903414.8023	10721529.9477	4894835.5573	2660659.1026	6873274.8466	19378780.8058	34079666.7673	16774220.1154	10940103.0147	10239210.4228	9725082.1116	11527084.1351	8698873.2382	10388859.7148	16970.3244
PC 32:1(PC)	71714038.5831	152005663.9796	217471290.8873	133520268.5265	198019671.3815	150800465.5573	43163786.7687	25968074.308	65775530.0107	143673986.6815	244743331.4925	120897440.5892	171232539.7347	160199369.3369	142024486.542	99490461.126	77229163.6121	89118429.0645	194649.5211
PC 32:0(PC)	35162078.6816	73311644.0605	102816527.3437	41414904.6474	58261687.2687	46726288.5054	28658470.8311	18790195.9394	45285175.3373	85698896.2223	138605265.6397	70392453.9553	56328498.6669	55309390.7788	47356926.4986	57073932.9605	44069989.5663	49053282.268	40108.7425
