___Reference Peak Information								
IS DAG 34:0	614.6	287.30	Positive	FA 17:0	DAG	DAG 34:0+NH4		1.5350
___Internal Standard Information								
Use reference peaks for all tests:	0							
___Target Lipid Information								
DAG 30:1	556.5	271.30	Positive	FA 16:1	DAG	DAG 30:1+NH4		1.4670
DAG 30:1	556.5	245.30	Positive	FA 14:0	DAG	DAG 30:1+NH4		1.4670
DAG 30:0	558.5	245.30	Positive	FA 14:0	DAG	DAG 30:0+NH4		1.4670
DAG 30:0	558.5	273.30	Positive	FA 16:0	DAG	DAG 30:0+NH4		1.4670
DAG 32:2	582.5	271.30	Positive	FA 16:1	DAG	DAG 32:2+NH4		1.5000
DAG 32:1	584.5	245.30	Positive	FA 14:0	DAG	DAG 32:1+NH4		1.5000
DAG 32:1	584.5	299.30	Positive	FA 18:1	DAG	DAG 32:1+NH4		1.5000
DAG 32:1	584.5	273.30	Positive	FA 16:0	DAG	DAG 32:1+NH4		1.5000
DAG 32:1	584.5	271.30	Positive	FA 16:1	DAG	DAG 32:1+NH4		1.5000
DAG 32:0	586.5	273.30	Positive	FA 16:0	DAG	DAG 32:0+NH4		1.5010
DAG 32:0	586.5	301.30	Positive	FA 18:0	DAG	DAG 32:0+NH4		1.5010
DAG 32:0	586.5	245.30	Positive	FA 14:0	DAG	DAG 32:0+NH4		1.5010
DAG 34:2	610.5	245.30	Positive	FA 14:0	DAG	DAG 34:2+NH4		1.5340
DAG 34:2	610.5	273.30	Positive	FA 16:0	DAG	DAG 34:2+NH4		1.5340
DAG 34:2	610.5	325.30	Positive	FA 20:2	DAG	DAG 34:2+NH4		1.5340
DAG 34:2	610.5	271.30	Positive	FA 16:1	DAG	DAG 34:2+NH4		1.5340
DAG 34:2	610.5	297.30	Positive	FA 18:2	DAG	DAG 34:2+NH4		1.5340
DAG 34:2	610.5	299.30	Positive	FA 18:1	DAG	DAG 34:2+NH4		1.5340
DAG 34:1	612.6	245.30	Positive	FA 14:0	DAG	DAG 34:1+NH4		1.5350
DAG 34:1	612.6	327.30	Positive	FA 20:1	DAG	DAG 34:1+NH4		1.5350
DAG 34:1	612.6	299.30	Positive	FA 18:1	DAG	DAG 34:1+NH4		1.5350
DAG 34:1	612.6	271.30	Positive	FA 16:1	DAG	DAG 34:1+NH4		1.5350
DAG 34:1	612.6	301.30	Positive	FA 18:0	DAG	DAG 34:1+NH4		1.5350
DAG 34:1	612.6	273.30	Positive	FA 16:0	DAG	DAG 34:1+NH4		1.5350
DAG 34:0	614.6	329.30	Positive	FA 20:0	DAG	DAG 34:0+NH4		1.5350
DAG 34:0	614.6	245.30	Positive	FA 14:0	DAG	DAG 34:0+NH4		1.5350
DAG 34:0	614.6	301.30	Positive	FA 18:0	DAG	DAG 34:0+NH4		1.5350
DAG 34:0	614.6	273.30	Positive	FA 16:0	DAG	DAG 34:0+NH4		1.5350
DAG 36:5	632.5	273.30	Positive	FA 16:0	DAG	DAG 36:5+NH4		1.5680
DAG 36:5	632.5	271.30	Positive	FA 16:1	DAG	DAG 36:5+NH4		1.5680
DAG 36:5	632.5	319.30	Positive	FA 20:5	DAG	DAG 36:5+NH4		1.5680
DAG 36:5	632.5	321.30	Positive	FA 20:4	DAG	DAG 36:5+NH4		1.5680
DAG 36:5	632.5	295.30	Positive	FA 18:3	DAG	DAG 36:5+NH4		1.5680
DAG 36:5	632.5	297.30	Positive	FA 18:2	DAG	DAG 36:5+NH4		1.5680
DAG 36:4	634.5	295.30	Positive	FA 18:3	DAG	DAG 36:4+NH4		1.5690
DAG 36:4	634.5	299.30	Positive	FA 18:1	DAG	DAG 36:4+NH4		1.5690
DAG 36:4	634.5	297.30	Positive	FA 18:2	DAG	DAG 36:4+NH4		1.5690
DAG 36:4	634.5	321.30	Positive	FA 20:4	DAG	DAG 36:4+NH4		1.5690
DAG 36:4	634.5	273.30	Positive	FA 16:0	DAG	DAG 36:4+NH4		1.5690
DAG 36:3	636.6	295.30	Positive	FA 18:3	DAG	DAG 36:3+NH4		1.5690
DAG 36:3	636.6	297.30	Positive	FA 18:2	DAG	DAG 36:3+NH4		1.5690
DAG 36:3	636.6	271.30	Positive	FA 16:1	DAG	DAG 36:3+NH4		1.5690
