C:\LipidView Data\LV Results\220712_XtrIL_ExampleData_09_Cer_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
569.6	264.30	Positive	Confirmed and Common Results	IS D3-Cer 36:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	6790887.0129	8935068.4306	9654647.5197	5209355.0442	6728715.4962	6365333.7206	7120524.4881	9234842.0992	7332233.8151	6211201.1025	5632391.4251	6599226.753	9876593.3538	6733776.2867	5855345.6474	11776687.2578	7863648.9791	7744942.8661	7026694.4188
538.6	264.30	Positive	Confirmed and Common Results	Cer 34:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	943728.626	2169574.351	3005607.3838	455199.6365	541925.588	562588.4516	1534574.5663	1365423.5968	2692664.6259	2116764.0928	3403234.3448	1565805.7446	1048397.7937	1749462.3859	566175.8795	2419245.2825	1534221.1194	1905760.1148	94680.1146
566.6	264.30	Positive	Confirmed and Common Results	Cer 36:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	198619.625	408378.92	590884.9401	154636.7327	224583.0534	198002.7171	350508.2542	381681.802	756792.8535	517520.7795	826768.8419	382970.6116	359959.2618	567900.978	198596.7262	531419.4829	338593.5562	352489.9951	38335.4844
594.7	264.30	Positive	Confirmed and Common Results	Cer 38:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	116219.6161	159079.9654	176073.7222	85157.3747	104286.6978	121074.7423	106839.3941	133594.0533	205701.1259	140375	169013.988	127136.6172	232025.0378	327025.0466	152219.5491	194634.0913	119898.2076	101261.0394	81793.8988
620.7	264.30	Positive	Confirmed and Common Results	Cer 40:2;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	89410.2061	105938.6191	153203.8675	103133.3324	139937.158	118057.9154	117135.8563	69341.7934	124845.8839	120159.9376	194901.5452	125490.8704	147944.3807	161014.7948	112895.5572	170274.3547	97756.1512	132201.4224	63433.0855
622.7	264.30	Positive	Confirmed and Common Results	Cer 40:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	307125	670036.565	832805.8766	449624.9362	558085.424	481312.3456	618980.3706	474792.1926	1004861.5024	711587.0904	1050577.6381	581311.6601	972354.5128	832341.7896	566518.241	846238.9331	555714.1797	555466.0886	74238.2178
636.7	264.30	Positive	Confirmed and Common Results	Cer 40:2;3	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	117584.3924	228510.1005	205209.3116	113711.6927	195253.4151	138365.3848	142997.2823	116415.137	239188.1566	201223.3105	223559.1501	121041.2784	342256.453	304755.2813	179375	208560.1573	128400.0693	143329.1258	50692.0516
648.7	264.30	Positive	Confirmed and Common Results	Cer 42:2;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	1432652.3337	3473026.446	4797580.6347	1421883.4579	2075857.8939	1594557.8135	1844470.6627	1355288.1826	2816511.2982	3855910.4408	5870032.7598	3182447.8442	2978467.7209	2074375.617	1693250	3749147.6055	2356279.5485	3187554.1691	63373.8503
650.7	264.30	Positive	Confirmed and Common Results	Cer 42:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	1567961.2496	3566535.3734	4959158.9934	1015963.1135	1316825.3937	1064517.7542	1749889.8599	1457288.9647	2855704.1474	2664808.0676	4359460.818	2427051.7697	2370129.3826	2347958.0845	1330417.2546	3637442.5717	2108228.2131	2633240.0285	81922.2463
