C:\LipidView Data\LV Results\220712_XtrIL_ExampleData_07_PA_37_4_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
728.5	115.00	Positive	Confirmed and Common Results	IS PA 37:4	(-PA (NH4))	7050330.3237	5869790.7196	7579220.5052	3692657.4401	7123999.1515	6279581.6758	8440200.5672	8859993.4292	5788046.2487	5280042.0435	3716003.0812	6917168.13	2234903.4092	4076942.9949	4645606.8703	7703495.1733	5317625	5429070.5922	4274205.8503
662.4	115.00	Positive	Confirmed and Common Results	PA 32:2	(-PA (NH4))	458886.9824	254762.8274	282424.6175	353125	545375.3152	402900.3687	258508.7316	295862.7687	396375	284375	230216.6491	360323.9653	478823.417	248845.0957	518347.4388	216626.7032	244009.4153	232601.5572	124317.0885
664.5	115.00	Positive	Confirmed and Common Results	PA 32:1	(-PA (NH4))	944091.2652	754435.6064	1148152.3639	1349947.0603	2249820.6356	2326605.5262	514292.6679	390778.4124	490577.3127	511211.6447	536291.921	499060.4272	901134.6151	1440459.7616	2525736.2047	300905.7588	299969.7518	349643.8849	141368.9829
666.5	115.00	Positive	Confirmed and Common Results	PA 32:0	(-PA (NH4))	733931.105	833192.7268	1125158.6581	472319.0283	792392.9022	953755.1374	370106.3416	472125	443988.7217	427840.7069	368480.4642	364910.9136	422348.1289	499738.551	820998.0035	319496.702	208822.1719	278676.0128	0
676.5	115.00	Positive	Confirmed and Common Results	PA O-34:2	(-PA (NH4))	595375	218501.6391	383000	206625.3457	319854.2814	321803.9083	219832.3291	237056.9284	338195.6511	171231.9276	193650.1073	274809.0246	388699.8723	204932.5547	465643.0504	292379.6629	278375.9555	229140.4481	123610.422
678.5	115.00	Positive	Confirmed and Common Results	PA O-34:1	(-PA (NH4))	577689.107	397973.0464	576495.6565	585788.8389	800177.6595	866875	223216.8863	345875	344132.5009	267968.7494	275971.0503	311900.219	457457.9148	495979.7525	784524.6003	311920.9452	186078.0045	262450.1559	89227.0081
688.5	115.00	Positive	Confirmed and Common Results	PA 34:3	(-PA (NH4))	579232.7717	182332.1072	312302.2249	347916.5969	390558.4232	316718.6125	364250	280911.942	330471.1877	221684.3629	206667.2567	392100.9082	448765.0222	256468.6799	494304.9637	214102.3123	297056.7876	239403.8632	134340.2344
690.5	115.00	Positive	Confirmed and Common Results	PA 34:2	(-PA (NH4))	835931.5878	647105.5788	961145.7397	1125126.7577	1974043.1828	1910928.7182	291740.343	285737.2895	427397.2661	509631.9471	411713.9303	491292.5914	872323.0197	1169636.3632	2310106.0189	312555.8871	335650.7611	305139.0033	118382.618
692.5	115.00	Positive	Confirmed and Common Results	PA 34:1	(-PA (NH4))	3538576.8746	4125387.3024	5629475.2831	3318280.669	5737132.2712	4580446.4506	1025450.9947	666866.3104	1265647.6521	2334635.5639	2237404.6064	1714810.6319	1920320.7755	3485566.8059	5850055.3519	948365.0343	815151.0179	969675.7877	84276.0291
704.6	115.00	Positive	Confirmed and Common Results	PA O-36:2	(-PA (NH4))	560573.0538	413641.3308	498387.5161	479549.3678	593544.8226	674742.4117	362875	297730.9143	488500	344395.0907	371504.4359	398684.3422	548627.6249	379291.7571	717482.7903	300555.2539	292816.3262	292849.1671	52988.259
706.6	115.00	Positive	Confirmed and Common Results	PA O-36:1	(-PA (NH4))	810111.4046	590304.6678	743996.4678	461984.6092	835336.485	589006.3993	335106.1144	301879.156	544125	408027.9787	393368.2729	445086.0972	512584.0007	485303.5062	785024.0168	346266.1722	321638.1256	320047.4354	115850.3732
714.5	115.00	Positive	Confirmed and Common Results	PA 36:4	(-PA (NH4))	859625	629125	334210.5652	398016.6959	460164.0497	445002.1314	329744.5196	466099.2366	597000	306929.3726	275836.0239	452428.0835	524350.616	297084.3744	721054.3824	271968.6346	380546.9575	338030.6549	152209.1921
716.5	115.00	Positive	Confirmed and Common Results	PA 36:3	(-PA (NH4))	779089.3999	398627.9756	566196.4841	700073.0456	1010875.6658	773778.4856	427875	423139.0125	412639.9003	345831.3128	350860.1455	556263.2585	767993.53	593195.7686	1312705.9127	313453.4498	431437.633	228446.7652	164052.0539
718.6	115.00	Positive	Confirmed and Common Results	PA 36:2	(-PA (NH4))	2391230.5953	2375260.6002	3049798.6927	2715137.3408	4552675.6297	4065381.7302	611598.9715	425336.3663	829087.8251	1543229.8385	1571773.133	1435911.9074	1700494.2616	2692283.2006	4967483.4672	678879.2192	812926.7636	748926.4597	145052.4823
