Class,ChemicalSpecies,MolecularSpecies,LipidCategory,Mass,ChemicalFormula,AdductIon,ScanPolarity,IsobaricClass,PrecursorERRppm,Intensity:Kon A-s.mzXML,Intensity:Sample 1-s.mzXML,Intensity:Sample 2-s.mzXML,Intensity:Sample 3-s.mzXML,Intensity:Sample 4-s.mzXML,Intensity:Sample 5-s.mzXML,Intensity:Sample 6-s.mzXML,Intensity:Sample 7-s.mzXML,Intensity:Sample 8-s.mzXML,Intensity:Sample 9-s.mzXML,Intensity:Sample 10-s.mzXML,Intensity:Sample 11-s.mzXML,Intensity:Sample 12-s.mzXML,Intensity:Sample 13-s.mzXML,Intensity:Sample 14-s.mzXML,Intensity:Sample 15-s.mzXML,Intensity:Sample 16-s.mzXML,Intensity:Sample 17-s.mzXML,Intensity:Sample 18-s.mzXML,FattyAcidComposition,FattyAcidIntensity:Kon A-s.mzXML,FattyAcidIntensity:Sample 1-s.mzXML,FattyAcidIntensity:Sample 2-s.mzXML,FattyAcidIntensity:Sample 3-s.mzXML,FattyAcidIntensity:Sample 4-s.mzXML,FattyAcidIntensity:Sample 5-s.mzXML,FattyAcidIntensity:Sample 6-s.mzXML,FattyAcidIntensity:Sample 7-s.mzXML,FattyAcidIntensity:Sample 8-s.mzXML,FattyAcidIntensity:Sample 9-s.mzXML,FattyAcidIntensity:Sample 10-s.mzXML,FattyAcidIntensity:Sample 11-s.mzXML,FattyAcidIntensity:Sample 12-s.mzXML,FattyAcidIntensity:Sample 13-s.mzXML,FattyAcidIntensity:Sample 14-s.mzXML,FattyAcidIntensity:Sample 15-s.mzXML,FattyAcidIntensity:Sample 16-s.mzXML,FattyAcidIntensity:Sample 17-s.mzXML,FattyAcidIntensity:Sample 18-s.mzXML,FragmentAIdentifier,FragmentAERRppm,FragmentAIntensity:Kon A-s.mzXML,FragmentAIntensity:Sample 1-s.mzXML,FragmentAIntensity:Sample 2-s.mzXML,FragmentAIntensity:Sample 3-s.mzXML,FragmentAIntensity:Sample 4-s.mzXML,FragmentAIntensity:Sample 5-s.mzXML,FragmentAIntensity:Sample 6-s.mzXML,FragmentAIntensity:Sample 7-s.mzXML,FragmentAIntensity:Sample 8-s.mzXML,FragmentAIntensity:Sample 9-s.mzXML,FragmentAIntensity:Sample 10-s.mzXML,FragmentAIntensity:Sample 11-s.mzXML,FragmentAIntensity:Sample 12-s.mzXML,FragmentAIntensity:Sample 13-s.mzXML,FragmentAIntensity:Sample 14-s.mzXML,FragmentAIntensity:Sample 15-s.mzXML,FragmentAIntensity:Sample 16-s.mzXML,FragmentAIntensity:Sample 17-s.mzXML,FragmentAIntensity:Sample 18-s.mzXML,FragmentBIdentifier,FragmentBERRppm,FragmentBIntensity:Kon A-s.mzXML,FragmentBIntensity:Sample 1-s.mzXML,FragmentBIntensity:Sample 2-s.mzXML,FragmentBIntensity:Sample 3-s.mzXML,FragmentBIntensity:Sample 4-s.mzXML,FragmentBIntensity:Sample 5-s.mzXML,FragmentBIntensity:Sample 6-s.mzXML,FragmentBIntensity:Sample 7-s.mzXML,FragmentBIntensity:Sample 8-s.mzXML,FragmentBIntensity:Sample 9-s.mzXML,FragmentBIntensity:Sample 10-s.mzXML,FragmentBIntensity:Sample 11-s.mzXML,FragmentBIntensity:Sample 12-s.mzXML,FragmentBIntensity:Sample 13-s.mzXML,FragmentBIntensity:Sample 14-s.mzXML,FragmentBIntensity:Sample 15-s.mzXML,FragmentBIntensity:Sample 16-s.mzXML,FragmentBIntensity:Sample 17-s.mzXML,FragmentBIntensity:Sample 18-s.mzXML,FragmentCIdentifier,FragmentCERRppm,FragmentCIntensity:Kon A-s.mzXML,FragmentCIntensity:Sample 1-s.mzXML,FragmentCIntensity:Sample 2-s.mzXML,FragmentCIntensity:Sample 3-s.mzXML,FragmentCIntensity:Sample 4-s.mzXML,FragmentCIntensity:Sample 5-s.mzXML,FragmentCIntensity:Sample 6-s.mzXML,FragmentCIntensity:Sample 7-s.mzXML,FragmentCIntensity:Sample 8-s.mzXML,FragmentCIntensity:Sample 9-s.mzXML,FragmentCIntensity:Sample 10-s.mzXML,FragmentCIntensity:Sample 11-s.mzXML,FragmentCIntensity:Sample 12-s.mzXML,FragmentCIntensity:Sample 13-s.mzXML,FragmentCIntensity:Sample 14-s.mzXML,FragmentCIntensity:Sample 15-s.mzXML,FragmentCIntensity:Sample 16-s.mzXML,FragmentCIntensity:Sample 17-s.mzXML,FragmentCIntensity:Sample 18-s.mzXML
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG,d5-TG 44:1,d5-TG 14:0_14:0_16:1,Internal standard,771.7228,H87 C47 D5 O6 N1 ,[M+NH4]+,positive,,-0.65,6324438.8,6875123.6,6855464.1,6541497.9,4351009.4,5935586,6717431.5,7816914.1,8464172.3,7916344.7,7276728.3,6514574,5642129.2,7084684.3,7929558.8,7308535,7170330.3,6281040.8,8096811.1,d5-14:0_14:0_16:1,3556066.7,5573016.2,5992678.2,4855346.1,3459277.8,4965118,5033245.5,3989415.8,7323489.4,6172557.4,5116949.8,4444063,5195330,5417755.6,4178942.8,3818407.2,6746222.1,4975895.8,3308230.8, 14:0,-0.19,2722871.9,4274248.7,4566567.7,3682405.2,2634178.3,3775879.7,3797419.3,3036735,5583304.1,4714700.8,3903097.1,3384658.4,3940042.6,4121434.8,3175613.2,2899935.3,5157578,3786452.5,2541946.9, 14:0,-0.19,2722871.9,4274248.7,4566567.7,3682405.2,2634178.3,3775879.7,3797419.3,3036735,5583304.1,4714700.8,3903097.1,3384658.4,3940042.6,4121434.8,3175613.2,2899935.3,5157578,3786452.5,2541946.9, 16:1,-0.4,833194.7,1298767.4,1426110.5,1172940.8,825099.5,1189238.3,1235826.3,952680.9,1740185.2,1457856.6,1213852.7,1059404.6,1255287.4,1296320.8,1003329.6,918471.9,1588644.1,1189443.3,766284
TG,d5-TG 48:1,d5-TG 15:0_15:0_18:1,Internal standard,827.7854458,H95 C51 D5 O6 N1 ,[M+NH4]+,positive,,-0.55,9088504.2,9590596.4,9647907.9,8253149.2,6375830.8,7832359.7,9600999.2,11712535.8,12053456.3,10931272.6,9563033.5,7593173,7508519.2,8154897.8,9423792.9,10182497.9,10121430,8898340.5,10854341.5,d5-15:0_15:0_18:1,5757847,7141658.4,7830625.8,6449291.2,4169562.4,6690418.8,6590256.9,6293847.7,9405268.3,7700519.7,6400558.7,6004177.7,6683842.9,5865582.1,6693538.8,4659633.8,8301761.8,6316798.1,3967245.3, 15:0,-0.42,4327207.9,5376073.7,5901309.6,4843708.3,3139736.6,5037009.4,4927681.9,4731087.5,7066870.1,5821154.3,4781961.6,4519359.8,5014042.6,4395624.8,5035402.2,3504430.2,6232152,4780864.5,2984580.1, 15:0,-0.42,4327207.9,5376073.7,5901309.6,4843708.3,3139736.6,5037009.4,4927681.9,4731087.5,7066870.1,5821154.3,4781961.6,4519359.8,5014042.6,4395624.8,5035402.2,3504430.2,6232152,4780864.5,2984580.1, 18:1,-0.23,1430639.1,1765584.7,1929316.2,1605582.9,1029825.8,1653409.4,1662575,1562760.2,2338398.2,1879365.3,1618597.2,1484817.9,1669800.3,1469957.3,1658136.6,1155203.5,2069609.7,1535933.6,982665.2
TG,d5-TG 51:1,d5-TG 17:1_17:0_17:0,Internal standard,869.8323,H101 C54 D5 O6 N1 ,[M+NH4]+,positive,,-0.63,10002716.2,10629315.8,10770713.7,9596149.2,6588419.7,9412328.6,11145628.1,13276622.5,14160663.5,12672513.4,11083571.9,8886963.5,8354525.1,11436728.9,11025962.3,10313985.3,13168856.2,9964944.7,12365388.7,d5-17:1_17:0_17:0,10261414.1,11117752,13813109,11391757,7396898.5,12055980.5,13056952.4,11402945,15911082.6,13807148.8,11352197.3,9950285.5,11811740.5,9755016.2,14167039.3,7587917.4,13414693.6,12296823.3,5893963.6, 17:1,-0.37,1292605.3,1390031.8,1726775.4,1420858.2,930481.8,1516819.8,1618549.5,1429807.1,1959282.5,1733968.3,1403311.6,1243194.2,1498466.5,1194712.4,1751040.1,978760.4,1700598.8,1580732.7,758169.5, 17:0,-0.39,4484404.4,4863860.1,6043166.8,4985449.4,3233208.3,5269580.3,5719201.5,4986569,6975900,6036590.2,4974442.8,4353545.7,5156637,4280151.9,6207999.6,3304578.5,5857047.4,5358045.3,2567897.1, 17:0,-0.39,4484404.4,4863860.1,6043166.8,4985449.4,3233208.3,5269580.3,5719201.5,4986569,6975900,6036590.2,4974442.8,4353545.7,5156637,4280151.9,6207999.6,3304578.5,5857047.4,5358045.3,2567897.1
TG,d5-TG 58:10,d5-TG 18:2_20:4_20:4,Internal standard,949.8011485,H97 C61 D5 O6 N1 ,[M+NH4]+,positive,,-0.42,9758356.6,12036046.5,11048010.6,10383482.2,7119495.1,10223791.5,12400268,14978178.8,14807693.4,13932642.9,11498986.7,10764766.1,8586114.1,12466090.2,12041633.2,12043785.7,13420070.3,10543622.1,11914965.9,d5-18:2_20:4_20:4,3826339.3,6118482.8,6795731.2,4711150.5,3451357.5,5676342.5,5353232,4513760.6,8972860.7,6062454.1,4995266.9,5126789.2,6319442.1,4389053.8,4934837,3946744.5,6962798.7,5140350.1,2844271.2, 18:2,-0.37,168156.9,261092.6,310911.6,209315.6,149755,227641.4,249359.3,184423.5,371071.9,274422.2,198793,203163.8,275372.6,178209.7,198373.9,168433.3,299485.6,216397.3,110043.1, 20:4,-0.5,1829091.2,2928695.1,3242409.8,2250917.5,1650801.3,2724350.6,2551936.3,2164668.5,4300894.4,2894016,2398236.9,2461812.7,3022034.7,2105422.1,2368231.5,1889155.6,3331656.5,2461976.4,1367114.1, 20:4,-0.5,1829091.2,2928695.1,3242409.8,2250917.5,1650801.3,2724350.6,2551936.3,2164668.5,4300894.4,2894016,2398236.9,2461812.7,3022034.7,2105422.1,2368231.5,1889155.6,3331656.5,2461976.4,1367114.1
TG,d5-TG 58:7,d5-TG 18:3_20:2_20:2,Internal standard,955.8479598,H103 C61 D5 O6 N1 ,[M+NH4]+,positive,,-0.56,9224004.7,10635742,10195957.5,9150131.5,6896861.7,8903411.5,10999855.3,13100842.7,12873056.1,12168262.5,10673983.4,9684711.7,7818384.9,11200287.2,10792338.8,10843354.9,11717643.5,9102521.2,10667323.7,d5-18:3_20:2_20:2,4175792.2,5818527.5,7240443.1,4848284.5,3627606.4,6187440.2,5217455.3,4477880.1,8394570.9,6062393.5,4976533.1,5346904.6,6500320.4,3924439.4,5117306.6,3909574.6,5425053.4,5322764.1,2628256.4, 18:3,-0.5,994773.4,1389329.6,1713661.8,1143041,849894.3,1467253.3,1229744.9,1047474.3,1958886.6,1449047.6,1170951.3,1255714.4,1566861.9,938287.7,1224649.1,912138.3,1294719.9,1262463.8,615106.2, 20:2,-0.52,1590509.4,2214598.9,2763390.6,1852621.8,1388856.1,2360093.5,1993855.2,1715202.9,3217842.1,2306672.9,1902790.9,2045595.1,2466729.2,1493075.9,1946328.8,1498718.2,2065166.7,2030150.1,1006575.1, 20:2,-0.52,1590509.4,2214598.9,2763390.6,1852621.8,1388856.1,2360093.5,1993855.2,1715202.9,3217842.1,2306672.9,1902790.9,2045595.1,2466729.2,1493075.9,1946328.8,1498718.2,2065166.7,2030150.1,1006575.1
TG,d5-TG 62:16,d5-TG 22:6_20:5_20:5,Internal standard,993.7699069,H93 C65 D5 O6 N1 ,[M+NH4]+,positive,,-0.34,7453202.6,10117544.6,8926341.3,8297098.5,6273363.6,8671303,10763592.4,12205766.4,11853532.1,11527721.9,9516630.3,9241291.5,7411424.8,11137678.6,10193468.2,10190940.7,12108947,9285359.3,10076445.2,d5-22:6_20:5_20:5,2588398.4,4324013.9,4704637.8,2987676.9,2837858.9,4578706.2,3718488.3,3182174.6,5422695.5,4319169.5,3323644,3474362.3,4335513.7,3194481.1,3128442.2,3085741.6,4155095.9,3784440.6,1951272.5, 22:6,-0.49,432241.1,709135.9,776097.6,480400.9,448153.6,738732.3,598454.4,523059.7,874275.5,702179,534101.1,562885.6,701975.8,529517.4,505163.5,482555.9,674757.3,603429.4,311820.6, 20:5,-0.56,1078078.6,1807439,1964270.1,1253638,1194852.7,1919987,1560017,1329557.4,2274210,1808495.2,1394771.5,1455738.3,1816768.9,1332481.8,1311639.3,1301592.8,1740169.3,1590505.6,819725.9, 20:5,-0.56,1078078.6,1807439,1964270.1,1253638,1194852.7,1919987,1560017,1329557.4,2274210,1808495.2,1394771.5,1455738.3,1816768.9,1332481.8,1311639.3,1301592.8,1740169.3,1590505.6,819725.9
TG,d5-TG 60:1,d5-TG 20:1_20:0_20:0,Internal standard,995.9732,H119 C63 D5 O6 N1 ,[M+NH4]+,positive,,-0.5,7725315.3,8751453.9,9367467.2,8858806.6,5979525.7,7810016.6,9278283.4,11497949.2,11903452.6,10466476.2,9344018.6,7438178.8,7674557.8,10053220.9,9133488.6,8924000.6,11431731.4,8895719.4,10011811,d5-20:1_20:0_20:0,15731146,14845630.4,21580295.8,15896812.4,11445955.7,18528541.2,15742755.6,13108581.3,23541498.8,17951257.2,14470541,15133721.4,18593057.7,14320310.6,13353221.4,10561885.7,19338658.6,15982356.6,7154380.8, 20:1,-0.71,1959364,1854918.2,2719347.6,2009132.2,1437996,2324955.3,1985165.1,1649020.8,2964472,2272787.2,1799824.9,1853838.7,2303312.7,1853438.5,1646076.7,1356023.2,2389912.3,2027526.1,919700.7, 20:0,-0.76,6885891,6495356.1,9430474.1,6943840.1,5003979.8,8101793,6878795.2,5729780.2,10288513.4,7839235,6335358,6639941.3,8144872.5,6233436.1,5853572.4,4602931.3,8474373.1,6977415.2,3117340.1, 20:0,-0.76,6885891,6495356.1,9430474.1,6943840.1,5003979.8,8101793,6878795.2,5729780.2,10288513.4,7839235,6335358,6639941.3,8144872.5,6233436.1,5853572.4,4602931.3,8474373.1,6977415.2,3117340.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
