Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS CE 9:0(CE)	19717730.02	24286125	21112250	16597677.26	20730791.28	18985293.57	22966875	20709341.94	20287559.51	18014552.8	15774875	21192589.88	21601897.76	17369554.91	14935750	27764439.5	24037478.52	21236938.12	22814183.17
IS CE 19:0(CE)	14025041.17	15908495.45	14757155.21	13292216.89	14959842.11	13158769.9	17481153.56	9722264.569	14208613.47	12790695.26	10811878.33	13523862.88	12692206.02	12367747.99	10415385.27	17853210.74	14988427.09	14404800.77	15211879.89
IS CE 24:1(CE)	17133960.77	18104250	17526763.74	16639770.45	17890820.81	14429833.73	19536761.49	9102765.766	16683604.7	14470322.3	11676215.32	14265078.8	13774733.2	13501696.06	11780226.16	19064191.6	16820479.53	15936435.4	15739625
CE 14:1(CE)	96305.0835	133235.3159	142492.0952	765843.5615	918500	707573.4734	91903.4723	106141.4083	102500	164546.7998	146927.5516	103336.4269	881516.3028	689666.2179	459144.7482	136270.9881	153816.199	69807.5059	116024.4386
CE 14:0(CE)	335639.2393	634904.6951	670627.3733	11779820.69	14514230.39	10134905.25	212500	223191.937	368889.2998	380643.637	401293.1115	340500	11511898.49	9732463.426	7445650.072	360763.2504	299694.1084	258107.4853	235168.1252
CE 15:0(CE)	285902.6228	521111.9921	588095.5022	2131416.831	2536149.199	2374858.865	250136.9356	269154.7048	368458.228	294855.8095	202872.7701	268819.6974	2564588.325	3479818.897	1691916.076	512407.567	351340.658	293883.8158	300790.7263
CE 16:2(CE)	78678.7747	111658.6239	116443.2369	267500	309223.8656	199317.5932	42304.1185	40700.1808	50502.8308	87971.0999	124223.9395	68503.9897	386443.9983	288376.4473	180218.0926	78462.8476	56598.8362	47875	26250
CE 16:1(CE)	970032.2398	1903017.112	1787546.329	13146427.37	16147809.8	11064430.81	558194.746	503705.018	775406.7898	1149946.542	1219710.895	1001379.733	15336971.95	12191408.75	9288863.727	989593.6447	895999.8052	730358.5651	387901.4903
CE 16:0(CE)	1425950.849	3254675.11	3109177.931	27411060.23	32065639.75	22617361.26	748909.3446	550808.8317	1116855.128	1403620.596	1754593.544	1191951.168	29734652.48	24779689.75	20949109.12	1222094.76	1102879.086	905689.9541	372363.3924
CE 17:1(CE)	206561.8933	372871.7069	401938.8309	2128232.505	2407398.94	1997906.646	148098.0662	96390.6164	171521.4147	237699.8364	267358.2732	206329.8417	2641663.715	2129071.815	1625258.875	235661.3402	201713.4226	186806.2091	73230.4696
CE 17:0(CE)	238090.9533	391320.8981	440432.4694	2813746.973	3537632.134	2705668.927	117866.7754	114778.7645	206763.5713	210194.7298	232367.4392	169100.5614	3738481.944	3651140.308	2639181.681	223212.4372	191720.6052	138828.9448	101887.4163
CE 18:3(CE)	82621.1527	179953.8694	189663.1514	342038.1943	410262.4718	298024.6878	53561.9746	57099.8662	71543.5602	75337.8993	98175.2156	86451.0905	433639.2536	334595.1569	285783.9743	68409.1585	52305.8575	83176.8299	21100.4951
CE 18:2(CE)	526961.9191	1091018.863	1061853.019	3320258.652	3870524.59	2936581.609	238119.2873	166545.2113	363227.4756	502259.3988	718204.28	498664.6516	3952462.956	3704437.422	2522531.998	505053.6082	406841.853	395290.4886	96493.2839
