Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS Hex2Cer 35:1;2(Hex2Cer)	2582625	2561000	2703375	1607375	2365250	2231750	2409375	2504250	1679750	1960750	2140625	2099250	2076125	1915625	1657125	2773375	1789500	1993875	2649375
Hex2Cer 32:1;2(Hex2Cer)	63875	90625	145000	23250	40750	28500	40250	45250	53125	89875	150875	69250	48875	23125	40375	73500	62500	80625	38875
Hex2Cer 34:1;2(Hex2Cer)	836750	1515750	2243125	112125	175375	151125	432875	276000	486125	1125000	2444375	1095000	160125	135625	131000	842000	508750	806250	0
Hex2Cer 36:1;2(Hex2Cer)	273500	466500	673375	98250	153375	110375	128875	113500	190750	343750	641875	359250	0	95500	109625	224250	146625	211625	35875
Hex2Cer 36:1;3(Hex2Cer)	0	0	46000	40625	0	0	27392.7471	44625	0	35375	69375	0	58250	0	38625	0	0	55125	0
Hex2Cer 38:1;2(Hex2Cer)	147375	244375	313375	0	89375	0	49375	52625	87500	110375	204750	121375	99375	89875	95125	0	0	99375	24750
Hex2Cer 38:2;3(Hex2Cer)	96000	86250	0	71250	0	51000	0	0	70875	67875	74750	66988.791	0	0	50375	58625	0	55875	0
Hex2Cer 40:1;2(Hex2Cer)	0	0	1923125	240375	0	0	337250	0	0	752000	0	0	0	0	0	641250	400625	0	0
Hex2Cer 40:2;3(Hex2Cer)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hex2Cer 40:1;3(Hex2Cer)	0	0	0	0	0	0	0	100375	0	0	78625	108750	0	67500	0	69750	0	79125	46500
Hex2Cer 42:2;2(Hex2Cer)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27750
Hex2Cer 42:1;2(Hex2Cer)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37703.6501
Hex2Cer 42:2;3(Hex2Cer)	0	0	110500	79875	40999.1651	0	0	0	66000	77625	0	0	88875	0	0	0	0	0	0
Hex2Cer 42:1;3(Hex2Cer)	78625	0	81750	91500	0	120000	0	0	0	35000	0	100000	0	0	0	77125	0	0	42375
