Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS HexCer 35:1;2(HexCer)	3368923.899	3630750	4101408.2906	2549503.7298	3674104.8755	3198312.9584	3581851.7874	4609750	2683050.0666	3078125	3007185.6921	3375690.0096	4099994.0943	3099781.2499	2825479.9578	4456774.5598	3170375	3171954.5924	2952219.7891
HexCer 34:1;2(HexCer)	121636.6889	270748.8894	291030.2973	213396.3392	311669.7237	266339.0942	112006.4324	153892.0155	149455.9317	357008.0279	555214.5215	249730.9273	351083.7297	265726.3421	194739.3268	298922.579	179437.8303	231988.927	26060.3387
HexCer 36:1;2(HexCer)	85375	94829.761	124655.7462	145017.6592	193250	141048.3073	40978.5896	38505.7593	65914.1561	119648.4615	201585.6554	110459.8497	222683.0637	169808.4941	127074.1798	125433.4001	51570.9329	76466.6595	28167.1383
HexCer 38:1;2(HexCer)	67718.2691	50057.3923	62891.8931	115406.2414	133223.5372	118250	29886.5604	26725.7203	27937.8385	41559.1749	71137.0893	28159.5666	115993.8622	114840.6831	100016.0462	34407.5693	34068.7728	36919.197	23541.0867
HexCer 38:2;3(HexCer)	27439.3873	24596.7818	18699.1098	18643.9214	26405.0825	26582.9978	21161.5923	18534.9674	24192.4531	15861.8324	17773.4953	42766.3889	32523.1064	32702.5912	0	0	6808.0308	18096.949	25875
HexCer 40:2;2(HexCer)	57922.0854	92594.4119	108830.7683	157243.6187	206929.2826	203554.4877	60582.8079	54136.8801	79375	109084.3233	183046.2758	134118.2532	243895.1555	206584.5892	172087.382	95465.0709	73761.7599	73020.4658	0
HexCer 40:1;2(HexCer)	176725.477	344860.5764	438127.7312	877714.4629	1236896.0381	958928.6456	159310.4157	120717.4809	172807.1333	372140.58	602762.5392	339122.677	1469771.5262	1095617.074	925286.5562	316438.3621	200498.9902	256574.078	7720.7055
HexCer 40:3;3(HexCer)	52519.1928	51353.8907	61014.7328	77498.9522	116390.5301	79749.4453	23687.0959	29600.9697	26134.5675	57663.345	103792.8098	57791.9208	163313.5402	95875.8357	91912.0702	59694.7816	31973.2542	37505.8463	5524.8878
HexCer 40:2;3(HexCer)	51881.7618	77954.6096	89803.0877	142151.1245	203308.2765	127543.3289	37776.6789	43368.5416	34530.9209	83022.2889	150149.0486	77914.1718	218756.6005	171876.7897	157390.2685	70650.8885	37881.8017	58315.1586	0
HexCer 40:1;3(HexCer)	34111.928	30766.3451	18762.1164	148762.7009	218341.0826	162619.2389	0	9999.5218	15257.133	14030.4254	29270.5654	22939.6654	133044.697	123793.1756	86415.7048	15215.075	18073.6003	10323.7029	14668.7296
HexCer 42:3;2(HexCer)	60199.1799	76964.313	81174.8772	90911.5297	104706.5514	71274.3127	37220.3497	29210.8546	33865.4063	81826.4294	167871.4585	67741.2962	126360.2664	84831.8039	89976.9258	75251.3306	54001.95	55239.2395	0
HexCer 42:2;2(HexCer)	532270.1886	1138942.0944	1308410.2475	1427948.2848	2092870.2151	1577678.608	500947.4869	374316.2774	597818.2117	1408384.6751	2725691.0779	1358309.1581	2368684.2501	1655880.4483	1691047.8262	1065537.5672	682644.5555	953169.6109	25174.798
HexCer 42:1;2(HexCer)	886717.5687	1658502.2888	2113884.3182	1051072.1271	1586622.8384	1101926.9378	538953.599	431414.8343	655107.436	1141834.1053	2351091.7891	1085254.0956	1803535.6614	1275715.7174	1298055.1925	1020524.1261	574085.7951	880559.473	16416.0847
HexCer 42:3;3(HexCer)	69953.8455	101885.1593	121743.6679	66874.4255	76025.2904	73390.0508	74348.4461	87374.8745	101827.6566	57790.2187	112112.098	84000	78968.6094	84602.2812	77585.4352	111826.2663	43269.2417	47069.6762	24302.2154
HexCer 42:2;3(HexCer)	73084.9344	80175.6561	62457.4847	83301.416	142449.0067	101015.5947	18768.6971	36165.9802	15140.8466	72335.2439	52833.3277	37868.3701	138636.1829	89679.0419	59210.4843	48918.6	35793.8715	36604.525	10783.2025
HexCer 42:1;3(HexCer)	19426.4082	0	35484.1863	178433.5768	192696.8641	224028.7448	19930.1814	0	25594.9313	17129.9364	0	37568.0412	171997.0447	170652.3741	155525.5275	45778.8344	0	9041.0241	0
