C:\LipidView Data\LV Results\220712_XtrIL_ExampleData_08_LPC_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
508.4	184.00	Positive	Confirmed and Common Results	IS LPC 17:1	(PC)	3282397.5562	3613333.1129	4084587.3983	2387921.1943	3459071.7313	3365428.3365	3180088.799	3397762.2203	3042836.398	3136115.3566	3146417.6989	2969645.7262	2556006.8617	4124120.0938	2999453.0673	3315340.0506	2870434.0946	2699519.087	4540562.1768
466.3	184.00	Positive	Confirmed and Common Results	LPC 14:1	(PC)	226429.4566	134484.0979	157821.5337	91497.7257	233686.7874	194480.0142	194110.2551	147847.7688	141782.6833	151296.8541	130277.0579	142924.4822	172345.7337	206843.2765	147734.1749	205228.2052	150930.6987	164026.1491	272150.3847
468.4	184.00	Positive	Confirmed and Common Results	LPC 14:0	(PC)	110512.8759	291848.8135	289868.568	450247.3365	735237.076	656405.5994	160377.65	183651.3821	172546.1602	267052.7157	335576.5691	253077.2476	528550.3446	679580.8065	462148.5176	254840.7878	210268.2789	183872.7585	109693.8145
494.4	184.00	Positive	Confirmed and Common Results	LPC 16:1	(PC)	459699.5219	781778.05	927519.1585	927338.4703	1516037.2047	1268699.0662	279891.2183	244905.7741	386777.5486	1080456.4807	1501527.824	886244.431	1110446.5213	1443088.4039	883182.1409	466878.0433	333221.5266	385880.852	37834.3339
496.4	184.00	Positive	Confirmed and Common Results	LPC 16:0	(PC)	1373722.7523	2757088.9831	3380560.3461	3255752.8634	5935810.0048	5285744.2382	874716.41	755545.4748	1499764.6998	3654000.5864	4790181.244	2775316.7321	3665466.5102	5412892.037	3793769.4534	1412810.5599	1045484.027	1079290.3929	54838.8231
518.3	184.00	Positive	Confirmed and Common Results	LPC 18:3	(PC)	30003.0287	29500.5249	56393.4189	32172.2073	50099.4176	44780.4712	18428.9349	24808.3889	36077.8013	48702.3135	53263.2408	27616.0985	44566.0686	46933.8495	44689.0795	32963.7394	25171.1011	30949.6101	0
520.4	184.00	Positive	Confirmed and Common Results	LPC 18:2	(PC)	241679.2687	236242.4845	329536.1999	247905.0444	342041.1031	295571.0966	193530.0125	131800.5381	208889.0841	328070.0325	426894.1412	247383.8936	356477.5364	339826.9995	360997.8273	239722.652	149275.2485	113367.6753	41581.3284
522.4	184.00	Positive	Confirmed and Common Results	LPC 18:1	(PC)	2055035.2268	3880417.752	4938835.3885	3558897.6446	4957605.7425	4297657.3137	766517.6413	546308.6812	1404939.0934	3497302.2748	4818904.6342	2510578.8106	3606099.471	3992141.5919	2576351.6944	1607690.535	1041344.0282	1201706.8824	71217.1429
524.4	184.00	Positive	Confirmed and Common Results	LPC 18:0	(PC)	1000287.7642	2260903.4591	2567094.542	2756378.0774	3038232.3759	2587271.8207	739067.4938	584131.9745	1162988.3928	1914741.2086	2426495.5405	1403958.2698	2103887.8592	1815446.767	1064516.5931	486223.7098	393679.8555	392818.3217	48500
