Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS PA 37:4(PA)	7050330.3237	5835920.7837	7513293.0589	3692657.4401	7089309.2552	6279581.6758	8435744.5615	8897195.5315	5732367.9729	5213496.3722	3716003.0812	6914255.1086	2141220.7144	4097772.2367	4645606.8703	7705804.0603	5317625	5471719.652	4274177.5773
PA 32:2(PA)	584024.4993	254825.91	282421.0248	353125	545375.3152	359138.5719	256377.852	295866.8552	396375	284375	228918.7952	438311.8716	478823.2045	248844.811	518347.4388	217099.4482	244009.4153	232620.6937	124317.0885
PA 32:1(PA)	946654.6628	755891.8849	1148152.1111	1349947.0603	2249820.6356	2325688.1114	473783.2049	390778.4707	490577.3127	511211.6447	533895.0607	500657.9818	898594.8919	1440459.7435	2525736.2047	300968.9019	261456.1312	311369.7629	141368.9829
PA 32:0(PA)	734273.4901	830755.0676	1125158.6459	472319.0283	792392.9022	953634.7669	372132.5054	472125	443988.7217	426395.7698	368504.5005	365124.294	422296.0875	499738.5488	820998.0035	319501.1445	165526.0473	276709.966	0
PA O-34:2(PA)	595375	218502.5187	383000	206625.3457	319851.4408	323170.7846	219832.359	293028.2543	338195.6511	221062.7587	193650.1073	274809.025	388699.8722	202271.3504	465643.0504	292379.6629	278375.9757	229140.4481	123610.3689
PA O-34:1(PA)	577689.107	397973.0837	576495.6565	585788.8389	800177.4639	866875	223216.8889	345875	344132.5009	232159.4699	275971.0503	311900.219	392560.0945	495921.0263	784524.6003	311920.9452	187324.8626	262450.1559	89226.9989
PA 34:3(PA)	579232.7717	182332.1072	312318.3211	347916.5969	390558.4232	316718.6125	364250	280911.942	330521.0154	221684.3629	206681.8976	392100.9082	448788.4597	256468.6799	494304.9637	214102.3049	297056.7876	239403.8632	134351.839
PA 34:2(PA)	835931.5878	613815.882	961146.6103	1125126.7577	1974043.1828	1910928.7182	291740.343	285737.2895	422702.6087	509631.9471	411714.7222	491292.5914	872324.2867	1169636.3632	2310106.0189	312555.8861	335650.7611	305139.0033	118382.9166
PA 34:1(PA)	3538576.8746	4123468.293	5629475.3754	3318280.669	5737132.2712	4580446.4506	1023193.0151	666866.3104	1265536.23	2334635.5639	2237404.6904	1714810.6319	1920320.91	3485566.8059	5850055.3519	948365.0343	815151.0179	969675.7877	62567.3148
PA O-36:2(PA)	559958.6484	413641.3308	491875.7108	415293.3741	593366.4656	674742.4117	362875	0	488500	344395.0907	371496.2551	398683.7363	548627.6249	379291.7571	717384.6902	300555.2539	292804.4838	237043.3041	119994.1302
PA O-36:1(PA)	810051.8707	587669.3532	745179.6659	460354.9876	835319.2028	589006.3993	335106.1144	243089.4668	544125	408027.9787	393367.8304	445088.3132	512584.0007	485303.5062	785009.979	343899.5931	321637.5274	318632.121	92338.2931
PA 36:4(PA)	859625	629125	334210.5879	395767.4363	460317.2309	442628.3429	331310.9875	466100.3994	597000	308218.9142	239893.2294	452428.0835	524350.616	297084.3744	721054.3824	270642.0657	380722.2712	338030.6549	152209.1921
PA 36:3(PA)	779089.3999	398627.9756	564837.36	699907.9118	1010889.2261	773732.5328	427875	423139.0034	295703.3972	345876.5871	348511.0168	556263.2585	767993.53	593195.7686	1312705.9127	313417.4069	431453.1526	228446.7652	164052.0539
PA 36:2(PA)	2391230.5953	2370542.7791	3049813.9322	2715119.2116	4552676.4335	4065379.5995	611598.9715	425336.3693	825922.0706	1543238.8559	1571593.0671	1435911.9074	1700494.2616	2692283.2006	4967483.4672	676844.406	812927.6835	748926.4597	145052.4823
PA 36:1(PA)	4736161.7641	4370227.935	4786012.1624	2167291.1261	4223230.4295	2502045.1883	1357412.7764	770468.8649	1958177.3377	5185596.271	4234270.32	3960404.2567	1330278.9004	1998336.2001	4066225.4773	823418.5943	1670197.2504	1817983.9576	0
PA 38:6(PA)	205010.5022	0	245308.6584	316125	241763.8995	161672.0751	354375	0	231589.9875	143631.385	115541.1374	0	322491.3799	163983.0656	376174.9916	195015.2677	242910.6864	210806.3707	126748.477
PA 38:5(PA)	496229.3965	391250	372018.5446	364208.7789	589931.9338	414789.9027	255755.1713	234362.3487	385405.6179	247537.7955	198895.5706	305562.8516	492046.1282	399954.1726	665112.6418	300312.3823	361875	280010.8512	184125
PA 38:4(PA)	767539.4012	291879.2155	618836.6064	441693.8579	715030.6532	499677.8103	330649.3378	400000	422055.7869	466483.8202	402604.0773	633679.8999	703329.8133	407802.645	885252.0186	323443.4652	514655.7577	276560.241	172440.4021
PA 38:3(PA)	942035.7176	578430.762	713951.4371	405416.3463	530246.4722	531089.3851	439417.5218	256067.4809	554488.5945	907875	620147.0925	708061.35	719755.2298	336822.9315	756038.9527	437209.3928	477693.8414	467368.5354	184989.9438
