Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS PE P-18:1/D3-15:0(PE P-18:1)	35319224.5895	8982141.5461	12055125	11531955.721	13474721.777	10519417.344	11138253.7945	12031938.9401	12830840.7333	13880439.7231	16540720.2374	23395625	19740250	22667500	22360102.5704	20722750	17040824.0477	18096342.0857	17602050.3455
IS PE P-18:1/19:0(PE P-18:1)	38430943.4114	9789630.2623	12643250	12867046.769	14514757.7971	11677860.3478	11903750	13261953.5135	13445613.3513	14812250	16900693.1345	23408125	21079500	23923125	25056500	22022406.5218	18462868.0624	19329375	19971256.8384
PE P-18:1/16:1(PE P-18:1)	847883.1906	380672.4841	664500	978250	1121750	796096.4612	154489.296	117500	222061.1338	829716.7781	1327666.0265	992349.7756	1357031.9524	1755500	1540836.4828	585009.8022	390671.6147	616159.5892	60500
PE P-18:1/16:0(PE P-18:1)	3169639.8352	1449999.1976	2000000	948243.1015	994634.8711	764561.5085	667472.5831	502515.2057	1179936.5522	3063625	5698625	4000320.1865	1522298.454	1841480.2582	1764018.0232	2765147.3105	1924000	2793544.9771	0
PE P-18:1/18:2(PE P-18:1)	501560.7621	206686.1364	285631.6637	408890.7005	534125	283303.0046	108303.245	65994.2322	167375	414156.7324	690655.718	467356.9815	711705.201	902551.8523	778625	317875	207603.063	276177.6498	36037.0968
PE P-18:1/18:1(PE P-18:1)	4535875	1916000	2822887.3367	4211447.3466	5177129.2643	3298197.4522	434304.2851	263050.5809	776221.6443	3224654.6874	5707250	3988544.2079	7094500	9166342.8713	7881875	2453358.1276	1702029.8503	2699500	68040.2138
PE P-18:1/18:0(PE P-18:1)	122669.3834	83066.6204	156485.4122	131585.3185	52533.9623	98481.0362	139510.5995	66868.1742	121272.2035	140552.2069	121440.7949	150009.074	27124.3984	84478.1668	148563.0909	113541.0678	100676.5893	90215.9299	73264.9792
PE P-18:1/20:5(PE P-18:1)	578792.9239	411160.9452	299527.3961	515250	521735.4197	417625	290183.8003	147697.5034	514250	616366.4911	597547.9565	522316.7458	900544.9109	984625	974480.9542	326484.8514	255377.9757	298946.0672	99847.2059
PE P-18:1/20:4(PE P-18:1)	4847666.7533	1862253.2759	2925726.9794	3115687.061	3503375	2171097.3335	1172454.5601	796856.9385	2196533.3102	6158496.6804	11942875	8295339.1113	5856030.5539	7606000	6190794.6923	4793381.028	3525625	5687149.4148	50457.1994
PE P-18:1/20:3(PE P-18:1)	1216901.3467	483446.2304	740338.2464	354823.7273	422309.1391	276424.8833	241860.9732	148040.6848	365080.1043	1646896.298	2864015.8588	2073233.3335	653139.2984	880536.8752	649814.8536	1114361.9202	766035.68	1323065.7418	36574.0472
PE P-18:1/20:2(PE P-18:1)	427821.5513	164123.2911	250514.4242	75689.135	92963.877	105280.5854	91024.1931	48921.0876	69663.411	477921.083	793715.2137	519925.7769	112377.448	115117.8728	153854.5556	360360.9951	189661.4038	356025.6111	51262.8495
PE P-18:1/20:1(PE P-18:1)	619880.764	269397.9316	434484.0179	171958.2663	190799.8434	159634.7298	117625	43169.4613	127177.4017	419237.9231	803631.4407	489994.0533	231405.2786	282421.8394	307892.6047	296708.5369	290069.9463	340106.4442	0
PE P-18:1/20:0(PE P-18:1)	137164.6236	91000.5193	101486.2262	68056.1122	71148.2606	71825.1146	122625	44222.2762	108375	124733.6519	152625.4998	187720.9531	49354.9004	87870.6005	88600.7398	96559.2764	101125	91619.2731	56000
PE P-18:1/22:6(PE P-18:1)	1894938.7524	697896.6437	988125	770375	852576.4658	604375	502625	322773.0155	939272.4489	2054000	4208607.4249	2764750	1624500	2037875	1747152.9943	2494000.2899	1508385.4913	2726750	0
PE P-18:1/22:5(PE P-18:1)	1896687.6992	834127.6368	1111450.1939	684883.573	895448.9588	599598.9871	577488.2424	436767.0936	963512.6538	2035110.1138	3820498.2805	2770781.9221	1248095.0103	1544865.0822	1280910.1163	2066424.9475	1442263.9612	2313051.7756	154932.1751
PE P-18:1/22:4(PE P-18:1)	1479241.5778	663410.0996	840354.8108	137498.2784	222485.5215	143723.8824	398913.4433	264986.6176	701602.4343	1611785.7641	3151787.3185	2100019.0201	301923.8634	321013.8615	290035.7156	1522061.5252	1025694.8769	1698902.4653	0
PE P-18:1/22:3(PE P-18:1)	813624.5451	285143.0115	420011.2758	72589.279	65058.8366	0	208619.1296	98018.6714	295257.1167	1319634.2837	2445156.5939	1552967.792	55283.0079	60005.495	0	801303.415	582307.8893	931365.1258	42571.9509
PE P-18:1/22:2(PE P-18:1)	267389.6258	119225.1792	185633.377	57005.6301	81629.6027	85625	27057.8207	0	60737.1378	191837.0236	373572.5288	303573.2859	83647.3712	0	59539.1677	160219.8646	159010.5425	168885.5386	29141.6463
PE P-18:1/24:6(PE P-18:1)	87978.2426	48987.8842	39085.4862	45346.9538	58158.4583	45249.1431	59547.4236	0	54044.086	70818.6792	109061.3517	0	48322.6995	51750	51450.6315	63304.2769	61605.2511	56136.9582	38953.2901
PE P-18:1/24:5(PE P-18:1)	114179.3943	73750.6014	97964.5485	41953.1906	0	62186.3863	69500	47273.912	65519.8424	92930.0928	161772.2394	141140.2032	65383.4498	50781.5306	72376.7546	96998.4121	106529.8655	125603.5434	0
PE P-18:1/24:4(PE P-18:1)	207416.7253	114439.3514	106157.3253	55290.8474	76625	0	55631.9306	0	100500	105441.7681	157654.0308	158579.8643	49110.0653	54664.8931	87221.5458	112066.0678	72763.793	94435.249	31462.791
