Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS PE 28:2(PE)	28204064.9884	32545696.5146	36574125	19858000	30644250	29399778.6577	28047916.7254	33796000	22988894.979	25424125	27737750	28238125	27833228.9624	26935288.8409	21972476.563	33454031.943	25298500	25771240.0288	30587348.6097
IS PE 40:2(PE)	20023775.5042	21310425.7926	23987422.1052	13090613.6228	19029317.8587	18003500	17747520.0056	19944625	13463063.8918	15883749.6362	17778559.9751	18940619.9145	17061829.502	15585125	13473028.8451	20882025.4173	15342899.3897	15306467.9678	17468087.5849
IS PE 44:2(PE)	14872750	14933875	17123353.4002	9465105.2835	13867559.2926	12745362.7038	13819587.3498	14599250	10084250	11081750	11907675.7178	13339698.9283	12234625.8805	10957644.9107	9698500	15045396.9196	10883875	11008833.796	13251192.7593
PE 32:2(PE)	473921.9808	752936.7853	1076180.0573	1432613.092	1909021.0024	1553764.9058	246573.6048	184727.7039	273020.0611	735682.2435	1300040.8315	699807.8227	1560435.6062	1391806.6759	1260065.5889	434269.7251	334557.333	406337.328	123925.2986
PE 32:1(PE)	4033816.8993	7934068.5617	11424656.7569	14945525.1528	23428466.7972	17090861.9844	1778124.9151	1450776.7179	1919442.3138	4642267.6779	8597688.8524	4508006.2985	16660280.9415	15465557.0167	13584847.2585	2995998.9633	2102744.4745	2834125.2827	455695.39
PE O-34:3(PE)	384421.8132	402361.5151	675006.4425	413739.7219	578324.3815	451861.8435	125081.9253	116600.4729	170162.1912	319394.4907	645102.9092	330424.9272	548040.2125	503233.5536	509808.1808	314846.2954	234394.6235	348910.0903	83745.372
PE O-34:2(PE)	1573522.0402	3008573.189	4671574.7573	2273163.8482	3230408.682	2348383.3634	582931.0966	460409.5698	723663.7308	1908625.0692	4107022.5892	1901740.3218	2987838.9986	2588745.9997	2440624.4266	1772515.3481	1328782.1142	1857792.3927	76854.1688
PE O-34:1(PE)	1209076.8047	2305479.1253	3171547.9358	3058705.1891	4393751.0825	3537174.883	640143.816	487191.1193	647460.4074	1210321.6592	2341867.2681	1241587.1669	3807678.8255	3465600.5692	3155059.3547	1027194.8203	781390.1644	941583.277	103002.6345
PE 34:2(PE)	5357794.7172	11233747.063	15458675.7274	16334152.591	24654358.6055	17728181.8397	2289427.1331	1530387.6158	2728734.9158	8192787.651	15265311.528	7278698.633	19519029.1156	17285908.5724	15241762.593	4654399.3447	3270792.8217	4705816.1106	125558.032
