Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS PE P-18:0/D3-15:0(PE P-18:0)	21961013.7567	5812820.6378	8130514.8294	7461557.9187	8634035.8524	7129702.9547	7761308.7676	8151569.5538	8866140.0082	8828010.2038	10496100.0029	13715866.1373	12619347.3375	14164682.2233	14562829.1775	13370853.1699	10809855.8919	11762676.0794	11744310.1146
IS PE P-18:0/19:0(PE P-18:0)	23087946.7085	5986040.6604	7829950.156	8257153.7974	8986093.3543	7065593.7755	7757316.5158	8394353.3968	8621206.7783	9052885.0272	10280201.5691	13432052.0494	12668223.5518	13776110.5785	15239545.6563	13249102.3886	10976726.0344	12059554.1856	12263741.6799
PE P-18:0/16:1(PE P-18:0)	867042.9592	316684.5235	575708.2338	648867.9538	909030.5949	571648.1283	181122.8339	111944.0724	227549.7283	639517.5649	1131164.9544	654369.0356	1059558.43	1310675.6916	1218475.5325	434646.7747	294211.9863	446273.836	38896.6117
PE P-18:0/18:2(PE P-18:0)	678347.1327	306908.4363	422263.4368	415286.6801	487417.7928	370961.8424	131680.3721	0	160368.1729	419959.8614	809790.6714	557651.2175	829983.5678	954815.6282	830909.5878	217504.5337	224476.8936	309369.4452	57518.6663
PE P-18:0/18:1(PE P-18:0)	4361232.9036	1925029.2721	2966769.6852	2483703.1424	3045396.0635	2140915.9803	518142.4066	351991.3766	950085.6041	2860983.5738	5048780.8579	3821610.353	4592965.5095	5549977.5888	5004379.7917	2102270.5721	1318319.1406	2243706.1959	82458.7374
PE P-18:0/20:5(PE P-18:0)	679712.5738	518131.1513	400225.7499	600888.6501	613168.7635	593204.4469	324792.4168	140884.464	484910.4979	686084.6876	803857.6779	610031.8264	934886.1489	1174350.4724	1130695.3041	379297.1516	200159.5871	474652.2908	0
PE P-18:0/20:4(PE P-18:0)	5970334.3305	2470759.6542	3497875.2024	3785360.5535	4075864.9413	2503386.4852	1703546.3908	1243361.9416	3315491.3671	6966752.8712	12867156.7926	8695730.0886	7387055.963	8950620.2287	7745955.4836	4877078.8545	3287060.4383	5647394.5869	60375
PE P-18:0/20:3(PE P-18:0)	1509263.2815	636876.2806	839442.2845	408342.5336	548071.1349	294170.2042	233502.529	196298.0458	514533.26	1938255.1279	3311839.2907	2097023.2095	801749.1323	909705.4069	818284.9777	1229484.2832	791709.4588	1165675.5796	60211.1234
PE P-18:0/20:2(PE P-18:0)	340280.761	158812.6225	212338.9234	83121.3221	125047.2011	79572.5051	49701.8691	60148.6757	147379.185	361448.2758	387413.2945	416731.7266	146274.902	95255.0804	94853.9572	187106.2445	109079.5548	186100.987	0
PE P-18:0/20:1(PE P-18:0)	590814.6187	267411.294	354094.2873	113459.2597	112151.6623	108802.3975	142736.8734	0	150613.8585	391599.222	631947.8558	444805.7772	204858.421	174894.1136	174982.2469	242416.7717	190357.1696	283799.5459	50029.7795
PE P-18:0/22:6(PE P-18:0)	2540928.878	869472.5339	1339373.4218	945081.3427	952177.4251	649722.9931	721442.9828	602912.2706	1356942.7236	2142533.7213	4408119.201	3071196.2486	1817914.1914	2244851.6218	1916649.689	2361593.0046	1665323.7018	2715865.4759	0
PE P-18:0/22:5(PE P-18:0)	2423998.4465	936672.9191	1383862.7686	961494.941	1006454.0412	642161.0889	759070.6073	498542.6818	1299239.4954	2262409.9053	4314546.6397	2944809.664	1573435.9266	1811358.4863	1609063.8616	2174006.6833	1474126.132	2462957.543	114427.799
PE P-18:0/22:4(PE P-18:0)	1675774.7403	709279.8284	1047650.7018	293537.6663	262011.095	161494.5839	469633.3617	313142.0128	862785.0545	1572572.6814	3204370.3325	2111306.0199	434003.8153	394808.1964	318334.3456	1251582.9888	917953.9698	1480271.5084	43860.2987
PE P-18:0/22:3(PE P-18:0)	676632.4421	269745.5069	427555.7774	0	66340.5677	103064.9375	184848.494	200651.5657	262820.6983	893662.6949	1752458.8653	1413540.3969	117523.2676	69153.8792	77470.1386	655250.4675	481672.3321	707587.2047	28790.0863
PE P-18:0/22:2(PE P-18:0)	213286.676	82526.4019	188180.0281	70685.7646	90565.0403	0	0	27136.8505	87413.4648	137495.5476	309238.3501	238054.8367	103296.8485	117876.0662	82452.4174	118095.5934	113317.3512	120325.9756	0
PE P-18:0/24:6(PE P-18:0)	98307.7183	38495.5261	39331.8583	0	41326.2528	27068.576	41312.6593	40125	50763.9718	0	118046.2034	95083.12	86227.0771	16223.3045	0	61771.1	0	50066.1554	0
PE P-18:0/24:5(PE P-18:0)	146581.0532	86406.5955	97340.6896	43665.2149	36388.8768	80524.2345	62587.1319	80095.0164	100921.8633	135039.1408	0	180804.9444	0	54254.9901	0	81303.7671	75672.3011	113528.3432	38830.182
PE P-18:0/24:4(PE P-18:0)	203861.2329	115972.9323	108890.9261	63050.0745	54673.9715	73585.9496	88684.2512	49404.278	76827.8571	113222.1753	220005.2463	229331.2573	222201.4909	33840.8252	83785.3183	61430.517	60203.9239	0	38020.0865
