Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS PG 28:2(PG)	13333240.3653	13951559.5028	14393375	8219342.4837	13088375	12472000	12086750	22328430.5602	8884625	10629500	11213340.7584	11678749.2703	10086375	10389763.0031	9910257.0378	13448305.8537	9954237.5739	11133903.5592	10682411.8103
IS PG 40:2(PG)	21893078.5943	24616250	23015250	13578375	20306000	19585500	19523719.865	38255375	13954866.5912	16559971.0832	16456000	19465071.1399	16487875	16029780.0174	15233500	21611444.4796	16020464.7865	16566750	16730835.9454
IS PG 44:2(PG)	20083202.7921	21956797.9967	20876125	12387511.4332	18260750	17021125	17898743.8229	34035750	12373052.4096	14661000	15004746.9152	17584670.9171	14070750	14193250	13804385.9593	19229125	14642479.3881	14709375	15631125
PG 30:1(PG)	146525.6329	92904.7672	182454.3988	269403.31	331502.6267	272499.1485	91264.594	88660.8612	117307.3991	131110.5827	160510.8448	100359.6483	345694.1496	243042.7116	280908.79	127404.3851	138222.8154	106942.4582	0
PG 30:0(PG)	254188.9539	322066.7133	409370.0788	503820.3072	751943.4515	761983.4953	202311.3849	199938.0132	262700.2537	245457.0917	268947.1926	215176.3008	734823.1753	705677.397	654709.4631	234323.5576	187916.0906	214230.142	164957.5275
PG O-32:1(PG)	156140.2699	49036.7676	98477.8251	109767.4698	109122.6038	84153.0115	83963.1691	89750	0	0	99360.67	98678.601	147718.0989	108473.4322	0	0	64758.065	80489.5842	0
PG O-32:0(PG)	171826.7469	88070.5208	160067.5949	97603.7717	123767.4996	142534.5067	103493.53	79131.5443	172875	62614.457	93443.1576	114243.6646	216093.8631	141903.3877	168302.881	97271.5552	81231.4005	70836.4466	57786.5179
PG 32:2(PG)	176757.8413	210730.7003	446125	654063.6166	723033.0398	420542.9278	126000	133716.3175	128899.4157	284756.6197	449625.7057	234684.5347	617680.2868	582568.1607	694334.8251	200958.9908	142280.5763	147353.7886	75211.3966
PG 32:1(PG)	1090183.1082	1311624.3356	1728001.7979	2067899.3242	2870626.2065	2161331.9374	775375	1072075.3205	607186.8788	911256.3463	1340101.2352	897929.7466	2011256.9398	2012695.4172	1966445.0172	684365.19	547758.4497	587328.2591	417640.07
