Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS PI 37:4(PI)	26090875	26964750	39992000	13429375	27833250	27156375	29138875	27348125	18367375	19418625	22406000	22542625	15774500	20786125	17392250	27374375	23529625	21986250	49691125
PI 32:2(PI)	224000	213875	396875	127375	219625	194625	109625	110250	118125	116000	165125	143375	164250	156750	194125	134875	114875	125000	53250
PI 32:1(PI)	564500	748125	1716375	624125	1384750	1109500	189000	153500	207375	250750	394750	239000	727500	794250	665250	245375	247125	206125	54000
PI 32:0(PI)	272375	261125	384750	213750	460750	352125	0	306125	138250	106375	154750	116000	293875	381625	265000	168625	127750	143250	83250
PI 34:2(PI)	2316500	3613375	7504125	2568625	5167750	4153125	606500	422750	707250	1404750	2759250	1200500	2391875	2820875	2575375	1165000	917000	1182750	48750
PI 34:1(PI)	3683000	5528625	11137875	5286000	11432875	8732375	1059375	682000	1162875	1577250	3143625	1513625	5871000	6786000	6148875	1695375	1329875	1616250	44750
PI 34:0(PI)	559375	632750	1242500	554375	1242875	1057000	186125	159000	238250	220500	370125	185875	853625	836625	705375	351625	219500	228625	73500
PI O-36:3(PI)	282250	279500	609000	112250	175750	146875	131625	116750	154875	224500	399875	277375	181750	98750	173625	188625	189125	136000	54500
PI O-36:2(PI)	543000	829875	1538125	577375	1100500	896750	200625	149625	258750	353250	616125	355750	576000	734375	711000	363625	282000	283250	60125
PI O-36:1(PI)	706750	817625	1561750	785250	1688500	1305375	165250	147750	198750	257375	410750	272500	879875	1064500	980375	300625	276125	299375	63625
PI 36:4(PI)	2139000	3426375	6733750	901625	1850750	1428125	2287250	1488125	2282625	3358000	6378125	3086500	1367625	1435625	1350375	2657875	2141250	2578500	165750
PI 36:3(PI)	2915250	5460500	10139875	1443875	2851500	2213500	1697250	1049625	1900250	4886750	9337750	4482625	1427500	1845750	1681250	2886875	2326625	2947875	68125
PI 36:2(PI)	10081000	17292500	33436000	13693875	28065250	21460500	2906375	1696250	3193500	7570375	14888125	6241250	13624500	15966500	14850000	6683750	5160000	6744750	60000
PI 36:1(PI)	4522750	7460000	14449375	11477375	24528000	19271750	927000	679375	1050125	1826875	3460625	1483000	11912875	13632625	12289750	2256125	1889875	2135000	45500
PI O-38:2(PI)	1141625	1774125	2984375	1100375	2017625	1638000	418625	316625	375500	793625	1422375	695875	1203125	1285125	1350750	789625	577000	793250	204000
PI 38:5(PI)	5598750	10811125	19193125	4122750	7896250	5684875	4524125	2685250	4797500	9279250	19382625	8813750	4825375	6214625	5884125	7716625	6072500	8027625	52250
PI 38:4(PI)	18401625	35205375	64121375	9342875	19640750	13573750	22219750	13267750	22567875	39006000	78699875	35359125	12922250	16132500	14920625	33973000	26059250	34338625	119625
PI 38:3(PI)	15604500	28811875	54146000	5201500	10914625	8245375	11020875	6595125	11334500	32718750	64880125	29464750	6419125	7935875	7299000	22719500	17740500	22402125	57125
PI 38:2(PI)	5882000	9624250	18917125	4522000	9539375	7242125	2091625	1198000	2136875	5853750	11946125	5137125	4933875	5811375	5349750	5482000	4403875	5193500	53875
PI O-40:4(PI)	932750	1425000	2493375	427750	759625	628875	730750	478875	729875	1488125	2730750	1321125	556625	598625	593375	1291875	1009875	1252750	322125
PI O-40:3(PI)	1150125	1984125	3562250	661250	1316500	1074000	805375	471750	795125	1815625	3546500	1734250	729250	885250	937375	1636500	1087125	1483000	74750
PI 40:6(PI)	1063625	1843625	3402625	900000	1730875	1219875	1171250	678625	1153375	1491125	3175875	1392625	1193375	1462000	1485750	1777250	1414250	1875875	41250
PI 40:5(PI)	1919125	3404500	6490125	1520125	3067750	2248625	1746750	1142625	1924875	2966000	5678125	2621500	1934000	2501000	2465375	3052250	2456250	3021750	53625
PI 40:4(PI)	2382125	4345375	7831125	1480000	3254500	2232375	1850250	1125875	1961375	3533000	7258000	3374375	2088125	2498250	2129500	3464000	2760250	3408125	48750
PI 40:3(PI)	1399500	2251125	3919875	805000	1630750	1304625	734000	459750	843250	2125875	3894375	1828750	975000	1103875	1014000	1766375	1312875	1749500	64125
PI 40:2(PI)	512625	689500	1151125	689250	1289875	1114375	205125	213375	246875	395625	544625	331250	871000	1142500	864750	482500	325375	348625	61000
