C:\LipidView Data\LV Results\220712_XtrIL_ExampleData_04_PS_Controls_deisotope_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
676.4	185.00	Positive	Confirmed and Common Results	IS PS 28:2	(-PS)	16021125	18700958.9982	24806625	11951750	19803084.1387	19156250	20349000	18080875	14842125	16411606.737	16661594.9462	18316387.9396	11988462.9266	15618058.3647	13841250	20729831.3693	15387629.2201	15739618.4034	22597875
844.6	185.00	Positive	Confirmed and Common Results	IS PS 40:2	(-PS)	12793547.2393	12583730.4362	16819615.0548	8297488.5649	14194125	13457125	13409237.0858	8623625	9680840.457	11171357.4446	12067299.0041	12937520.0134	7882371.7463	9805163.2366	9569714.024	13861670.4781	9853915.6709	9994969.8134	12399748.6344
900.7	185.00	Positive	Confirmed and Common Results	IS PS 44:2	(-PS)	8130120.5345	6730625	9860983.6847	4715371.175	8026728.0196	7903795.5121	8742959.565	4896861.2451	6327000	6541125	5916250	7183639.4488	4388625	5269500	5579500	8280634.2033	6125619.3006	5790006.7537	8314339.2695
730.4	185.00	Positive	Confirmed and Common Results	PS 32:3	(-PS)	131840.0118	45354.0263	63322.3845	66375	93217.3322	100711.573	105824.194	68430.4762	59668.993	65586.0748	64879.2145	0	49635.3209	73250	69690.3525	64457.7297	71682.7741	51630.6087	53671.2664
732.4	185.00	Positive	Confirmed and Common Results	PS 32:2	(-PS)	89513.4171	78366.8088	126748.2038	89841.139	137536.945	151107.329	98128.8335	49789.3606	122262.4026	85033.6322	124053.8419	104213.6464	130862.3426	78927.7899	120781.9901	136125	108218.2942	53157.0991	71001.6321
734.5	185.00	Positive	Confirmed and Common Results	PS 32:1	(-PS)	906106.5894	1465609.9938	2476372.3729	2859509.3553	4907775.8795	4042950.7316	370895.5436	255134.6062	386144.3512	814927.6529	1448518.9861	727400.6068	2301874.9034	2725025.0413	2636358.3897	355931.6561	252492.4977	343073.3109	50851.786
746.4	185.00	Positive	Confirmed and Common Results	PS O-34:2	(-PS)	111999.5534	83758.1446	94370.2632	63946.2292	149131.6107	115828.857	15945.5172	43582.1636	0	35531.3762	51241.6743	73907.101	88505.9183	85776.2508	91854.4774	23181.0976	63525.6503	66750	29927.3964
748.6	185.00	Positive	Confirmed and Common Results	PS O-34:1	(-PS)	392089.5264	656356.423	1014887.8719	973396.7121	1526605.1258	1206694.5052	126079.7129	68895.4719	133550.4858	273711.9839	470208.2401	259779.8979	814382.2215	967350.23	904022.2778	168907.1913	116858.8957	160568.7739	0
760.6	185.00	Positive	Confirmed and Common Results	PS 34:2	(-PS)	623507.0592	1106196.1001	1700536.9073	1338491.979	2075272.3163	1638469.6675	235141.7493	121896.7772	277146.7736	748553.5948	1498534.6439	751201.4416	1022496.3887	1299961.1959	1194701.6847	433647.1441	278751.2952	405940.6698	83683.4288
762.6	185.00	Positive	Confirmed and Common Results	PS 34:1	(-PS)	7367730.0959	14270097.8727	22921003.8943	12773608.2779	20947946.22	16695681.9965	2386464.5155	1138940.6425	3022722.6323	8333519.7018	14177572.3558	7662168.7942	10338446.8914	12960753.7098	12533597.6689	4448050.74	2994598.1206	3813547.751	33643.5512
764.6	185.00	Positive	Confirmed and Common Results	PS 34:0	(-PS)	347077.3319	707433.1097	978165.4817	0	6870.3804	9062.2756	394819.2864	187388.7305	447185.29	460604.6073	1177751.0558	652032.7754	112580.3253	0	74628.3478	579942.9006	471730.291	573298.7355	56016.3967
774.6	185.00	Positive	Confirmed and Common Results	PS O-36:2	(-PS)	230903.7299	335548.1233	502975.4869	338975.4053	532160.8403	532799.1206	114077.8219	74710.2355	128125	226626.1893	313637.059	221646.5494	375372.1579	351570.0103	400221.1438	171443.0262	90609.5916	144507.2042	51402.1718
776.6	185.00	Positive	Confirmed and Common Results	PS O-36:1	(-PS)	1035667.0778	2079354.4731	3127796.8892	1545972.4466	2662576.1549	2099200.8656	544015.4015	253675.245	661545.983	1188130.58	1902280.9199	1051015.7135	1466754.3577	1571753.4056	1591776.0666	889373.4658	536850.0319	649526.2694	62755.4779
784.6	185.00	Positive	Confirmed and Common Results	PS 36:4	(-PS)	0	328000	348322.1115	285315.0116	459230.6667	357250	0	139376.7663	0	0	0	0	282997.8602	421875	338546.8857	0	193822.9838	0	33392.3893
786.5	185.00	Positive	Confirmed and Common Results	PS 36:3	(-PS)	341625	487458.5471	759483.506	424093.7613	670478.0655	523828.0178	145583.6947	116375	137208.7339	437125	656000	438000	468016.9115	454054.1049	482596.1114	280747.9837	248651.1156	201706.2777	63466.1176
788.6	185.00	Positive	Confirmed and Common Results	PS 36:2	(-PS)	3433803.0145	6282135.0107	10572137.7079	5124765.8098	8786278.5668	6714306.0794	1623258.7697	695640.4902	1882324.1052	5161992.367	9290746.9245	4901925.95	4545192.3153	5500155.4485	5565610.1151	2898104.1426	1890522.3595	2494119.1979	54544.4372
790.6	185.00	Positive	Confirmed and Common Results	PS 36:1	(-PS)	17783880.6712	32170474.5892	54305096.4195	14690704.5996	24945750.1483	19568975.4361	11840216.3897	5069009.3634	14369881.6348	29544997.7574	50755035.7391	27500037.0716	13790975.965	17100350.3831	16754558.042	18642271.7681	12266860.191	16914727.5247	69493.7368
792.6	185.00	Positive	Confirmed and Common Results	PS 36:0	(-PS)	0	0	0	28347.5597	0	0	24104.9549	0	0	0	0	0	40869.0876	0	0	41520.4979	84011.8695	54313.9782	54471.8007
800.6	185.00	Positive	Confirmed and Common Results	PS O-38:3	(-PS)	169480.4005	128647.6235	208362.5136	112160.7941	131890.9664	126079.4963	68836.3739	56638.089	73562.4096	125885.7082	225125	121886.7519	127332.9563	84566.1658	166375	97609.7989	52602.623	66497.671	30168.2855
802.6	185.00	Positive	Confirmed and Common Results	PS O-38:2	(-PS)	274391.9277	316046.9327	493964.7115	214523.224	371724.3221	275817.6019	147169.4913	105519.2836	188401.8168	287946.8714	476846.2101	228852.3822	199259.9057	217159.5933	283784.5499	254500	150237.7305	174484.679	25148.9455
804.6	185.00	Positive	Confirmed and Common Results	PS O-38:1	(-PS)	454431.5823	551975.4005	806512.5315	300035.8127	521953.0682	552180.0272	229875	126968.2096	237392.0588	423546.6256	705206.3729	516899.8074	338590.528	328754.2126	353617.6653	346504.8934	249752.2362	313885.0915	48191.0826
806.6	185.00	Positive	Confirmed and Common Results	PS 38:7	(-PS)	75806.5036	82116.7053	98880.6981	20758.4182	81595.2348	84196.6466	45104.6024	60735.7042	83115.1865	56814.5993	70680.6514	75631.3535	89735.2958	44710.4085	64267.3016	36489.0275	127750	56188.1829	36971.8611
808.6	185.00	Positive	Confirmed and Common Results	PS 38:6	(-PS)	160195.1289	166438.9475	332284.1927	176912.2472	324785.0762	188651.1674	84452.4692	86390.0685	91981.9314	177407.7673	232206.873	132047.3199	219798.4985	235094.1002	189483.9145	217000	91997.0263	125579.4363	0
810.5	185.00	Positive	Confirmed and Common Results	PS 38:5	(-PS)	174709.9673	329078.2499	526078.1874	350330.1386	493252.833	274735.0637	127254.7211	80289.9822	137549.1896	281514.9148	502842.8987	325875.243	364638.758	350739.9577	364757.342	251470.6773	146366.2286	197483.841	34766.8575
812.6	185.00	Positive	Confirmed and Common Results	PS 38:4	(-PS)	658223.9547	1197680.1812	1980611.7972	770940.7004	1284023.9278	881471.4038	656020.5629	316715.3416	702587.6787	1221821.5315	2205925.8379	975157.2572	910394.5858	961774.859	935019.2238	783173.7903	568293.2014	816111.4408	2017.5846
