Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS SM 31:1;2(SM)	75489804.6396	47247273.4306	49031342.9227	25538748.7481	38205064.9059	35847864.9103	34120252.2837	40869701.0698	32536408.2781	30905163.244	33869535.0668	32700145.6559	30652043.4245	36935664.9841	29535746.5747	38650524.5646	30153550.5979	30672629.7869	47099888.5022
IS SM 35:1;2(SM)	83752426.8129	52757288.4238	53634620.9919	28656507.0799	41958756.8727	38817332.0265	38330792.1501	45160873.1075	35770636.2089	34965190.2034	38195149.6351	36757730.7916	35226813.0474	39965620.4961	33046984.626	44307752.0642	34779087.2127	33939395.3899	51325625
IS SM 43:1;2(SM)	52802492.0842	31140558.3685	35910545.3601	18091441.9364	26205534.1943	23486584.0579	23472641.5203	27942943.2051	20544472.6174	20402825.3271	22937127.3551	23177272.5774	21055164.3888	24542949.6006	20107658.6236	27235542.8172	21320788.7816	20635084.6289	29047880.9689
SM 34:2;2(SM)	838611.8053	1553904.54	2403166.2008	941909.1337	1301771.1458	1027093.1547	446387.619	357141.1769	820603.8203	1728460.4122	2968324.179	1267354.2702	1248778.26	1351236.8849	1102238.4423	843633.3492	646150.1493	955709.3342	22665.1825
SM 34:1;2(SM)	8936662.3009	18596635.5961	27361694.2452	9536496.1528	14137758.3979	11691878.6294	6144030.9777	4640703.5685	9555209.4432	18674142.3908	34594952.995	15339715.7005	13123391.8833	15014231.8004	12392125.4605	10047968.6224	7582161.1907	10031718.9211	169020.1496
SM 34:0;2(SM)	617056.7815	1040827.6476	1352267.1657	95701.6393	310965.1383	410407.0945	555893.3247	404802.2851	758852.2632	562243.1233	1134093.8307	646069.6731	426536.9983	690963.9427	95333.1164	783386.8416	365609.9272	895615.9361	218171.4951
SM 36:2;2(SM)	613087.5036	1271059.8466	1485528.7919	952191.3689	1279555.2528	990990.9974	311557.7676	267616.341	518216.3579	1029345.6015	1813619.2134	881639.2476	1110575.3875	1253227.5533	1124664.8	550481.0674	385775.7304	519200.486	91890.0583
SM 36:1;2(SM)	1507088.4511	3281907.3472	4496319.2499	3023594.5834	4899717.9192	3828755.0927	837844.7537	669795.1948	1485492.2304	2292195.2532	4775092.2944	2158469.652	4283017.3731	5022332.2608	3874842.6782	1353034.0324	861131.1448	1290596.0912	90524.8157
SM 36:0;2(SM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31367.9986
SM 38:2;2(SM)	170397.8877	355647.2301	357060.8365	349741.4158	767075.2825	369829.7479	93385.9856	61895.4492	80274.1744	278779.1206	627247.0465	281876.3561	434615.1727	484109.04	518533.4106	115417.602	53147.6548	31460.9109	7135.6307
SM 38:1;2(SM)	0	0	0	485753.7056	1247049.7037	158147.6048	0	0	0	0	0	0	167698.7944	924916.0897	475365.8784	0	0	0	11834.2745
SM 38:0;2(SM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 40:2;2(SM)	892426.1877	2373314.8028	2071345.8913	2683831.0595	3888177.4938	3106213.6462	285555.8516	244514.4328	506825.072	996474.002	2060733.5567	761024.1962	3512016.2381	3748645.2212	2903649.73	538061.9015	392908.032	654236.4422	6047.0858
SM 40:1;2(SM)	1411685.3055	2018651.6982	41816.2741	3272053.7494	5825563.4721	3758266.1359	83632.575	0	0	0	0	0	4618871.0404	5973601.538	3744627.8921	79342.5786	61899.556	0	39398.3731
SM 40:0;2(SM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 42:3;2(SM)	1758211.7591	3322573.424	4263218.136	3315498.4035	5268195.6185	3801612.2749	695141.3499	386075.1178	1242726.9294	3056913.1453	5412729.5015	2656634.9231	3659022.3483	4410728.684	3584906.4904	1703502.2263	1106356.7336	1348675.3722	22034.0021
SM 42:2;2(SM)	9053984.2631	18454968.2103	25312952.0213	14063438.1316	19859442.8079	15507194.173	4027631.3533	3098667.1458	6241262.0552	14920159.7245	28023842.3661	12993581.3434	16666689.8631	19094217.9527	16268034.6912	8586127.938	5967697.2453	8022768.6473	14157.084
SM 42:1;2(SM)	3754074.9973	7346017.5142	10504471.6972	2546732.3499	3970210.5119	3357448.5741	1563085.7244	1159984.0856	2210820.3959	3821897.1423	7193818.9743	3328320.3513	3818796.0966	4536108.6287	3694589.8596	2401634.6067	1821592.2962	2155978.3029	117296.6947
SM 42:0;2(SM)	0	45839.9387	73617.8484	105851.2663	101114.0625	147192.2028	0	26582.8242	0	135460.6882	166410.925	0	140301.0553	91527.8503	0	46082.6197	1372.4552	0	11294.8751
